,DP Cell Line ID
816,ACH-000764
817,ACH-000400
818,ACH-000842
819,ACH-000343
820,ACH-000617
821,ACH-000927
822,ACH-000117
823,ACH-000859
824,ACH-000192
825,ACH-000021
826,ACH-000719
827,ACH-000568
828,ACH-000554
829,ACH-000349
830,ACH-000927
831,ACH-000117
832,ACH-000277
833,ACH-000930
834,ACH-000859
835,ACH-000725
836,ACH-000809
837,ACH-000934
838,ACH-000910
839,ACH-000192
840,ACH-000678
841,ACH-000021
842,ACH-000481
843,ACH-000427
844,ACH-000679
845,ACH-000719
846,ACH-000811
847,ACH-000568
848,ACH-000554
849,ACH-000691
850,ACH-000496
851,ACH-000248
852,ACH-000608
853,ACH-000117
854,ACH-000277
855,ACH-000847
856,ACH-000351
857,ACH-000589
858,ACH-000431
859,ACH-000900
860,ACH-001318
861,ACH-000635
862,ACH-000927
863,ACH-000278
864,ACH-000330
865,ACH-000725
866,ACH-000691
867,ACH-000507
868,ACH-000784
869,ACH-000586
870,ACH-000521
871,ACH-000001
872,ACH-000409
873,ACH-000090
874,ACH-000248
875,ACH-000117
876,ACH-000277
877,ACH-000635
878,ACH-000608
879,ACH-000347
880,ACH-000163
881,ACH-000187
882,ACH-000248
883,ACH-000117
884,ACH-000277
885,ACH-000635
886,ACH-000927
887,ACH-000698
888,ACH-000666
889,ACH-000870
890,ACH-000792
891,ACH-000846
892,ACH-000005
893,ACH-000705
894,ACH-000536
895,ACH-000637
896,ACH-000277
897,ACH-000352
898,ACH-000859
899,ACH-000554
900,ACH-000554
901,ACH-000809
902,ACH-000192
903,ACH-000912
904,ACH-000483
905,ACH-000647
906,ACH-000053
907,ACH-000705
908,ACH-000253
909,ACH-000308
910,ACH-000574
911,ACH-000777
912,ACH-000705
913,ACH-000910
914,ACH-000830
915,ACH-000727
916,ACH-000635
917,ACH-000293
918,ACH-000853
919,ACH-000001
920,ACH-000164
921,ACH-000784
922,ACH-000021
923,ACH-000308
924,ACH-000574
925,ACH-000705
926,ACH-000910
927,ACH-000635
928,ACH-000714
929,ACH-000292
930,ACH-000483
931,ACH-000163
932,ACH-000867
933,ACH-000277
934,ACH-000352
935,ACH-000859
936,ACH-000554
937,ACH-000293
938,ACH-000351
939,ACH-000610
940,ACH-000905
941,ACH-000144
942,ACH-000705
943,ACH-000481
944,ACH-000635
945,ACH-000900
946,ACH-000276
947,ACH-000293
948,ACH-000853
949,ACH-000001
950,ACH-000164
951,ACH-000691
952,ACH-000343
953,ACH-000053
954,ACH-000714
955,ACH-000769
956,ACH-000589
957,ACH-000192
958,ACH-000021
959,ACH-000568
960,ACH-000554
961,ACH-000792
962,ACH-000846
963,ACH-000005
964,ACH-000525
965,ACH-000247
966,ACH-000008
967,ACH-000014
968,ACH-000021
969,ACH-000647
970,ACH-000727
971,ACH-000643
972,ACH-000927
973,ACH-000117
974,ACH-000277
975,ACH-000347
976,ACH-000454
977,ACH-000725
978,ACH-000001
979,ACH-000030
980,ACH-000395
981,ACH-000009
982,ACH-000848
983,ACH-000777
984,ACH-000809
985,ACH-000679
986,ACH-000473
987,ACH-000614
988,ACH-000483
989,ACH-000293
990,ACH-000351
991,ACH-000610
992,ACH-000843
993,ACH-000536
994,ACH-000298
995,ACH-000292
996,ACH-000536
997,ACH-000783
998,ACH-000846
999,ACH-000196
1000,ACH-000293
1001,ACH-000714
1002,ACH-000351
1003,ACH-000610
1004,ACH-000839
1005,ACH-000635
1006,ACH-000238
1007,ACH-000408
1008,ACH-000857
1009,ACH-000382
1010,ACH-000871
1011,ACH-000525
1012,ACH-000293
1013,ACH-000853
1014,ACH-000001
1015,ACH-000164
1016,ACH-000023
1017,ACH-000574
1018,ACH-000525
1019,ACH-000349
1020,ACH-000277
1021,ACH-000507
1022,ACH-000192
1023,ACH-000586
1024,ACH-000900
1025,ACH-000725
1026,ACH-000293
1027,ACH-000853
1028,ACH-000001
1029,ACH-000192
1030,ACH-000586
1031,ACH-000900
1032,ACH-000867
1033,ACH-000563
1034,ACH-000843
1035,ACH-000400
1036,ACH-000009
1037,ACH-000809
1038,ACH-000408
1039,ACH-000586
1040,ACH-000053
1041,ACH-000714
1042,ACH-000769
1043,ACH-000589
1044,ACH-000483
1045,ACH-000188
1046,ACH-000238
1047,ACH-000810
1048,ACH-000730
1049,ACH-000719
1050,ACH-000483
1051,ACH-000408
1052,ACH-000844
1053,ACH-000910
1054,ACH-000238
1055,ACH-000665
1056,ACH-000047
1057,ACH-000859
1058,ACH-000019
1059,ACH-000408
1060,ACH-000292
1061,ACH-000481
1062,ACH-000635
1063,ACH-000536
1064,ACH-000783
1065,ACH-000839
1066,ACH-000635
1067,ACH-000749
1068,ACH-000053
1069,ACH-000769
1070,ACH-000589
1071,ACH-000163
1072,ACH-000400
1073,ACH-000276
1074,ACH-000481
1075,ACH-000635
1076,ACH-000712
1077,ACH-000793
1078,ACH-000839
1079,ACH-000188
1080,ACH-000581
1081,ACH-000277
1082,ACH-000536
1083,ACH-000783
1084,ACH-000714
1085,ACH-000839
1086,ACH-000635
1087,ACH-000783
1088,ACH-000635
1089,ACH-000714
1090,ACH-000188
1091,ACH-000343
1092,ACH-000698
1093,ACH-000714
1094,ACH-000248
1095,ACH-000012
1096,ACH-000714
1097,ACH-000846
1098,
