Gene,pval,ecDNA dominace
RSPH4A,0.1689635550389348,pos
NCAPH,0.17044547152705591,pos
MAP7D3,0.17193710511472649,pos
MCM6,0.17343848538696893,pos
NME8,0.1749496416775369,pos
ORC1,0.1749496416775369,neg
SQOR,0.1749496416775369,neg
PCMT1,0.17647060306526996,pos
SLC18A2,0.17647060306526996,pos
IGDCC4,0.1780013983704466,neg
TESPA1,0.181092604699564,pos
SPC24,0.1842234859173476,pos
CLNK,0.18739426290597794,pos
CKAP2L,0.188994680116365,neg
CNKSR1,0.188994680116365,pos
HOXA6,0.19222570506864756,neg
SORBS2,0.19222570506864756,neg
TIFAB,0.19222570506864756,neg
SPRED2,0.19385636517411786,neg
CCAR1,0.1954971581129663,neg
HORMAD1,0.1954971581129663,neg
CXCR3,0.19880924391906096,pos
EME1,0.19880924391906096,pos
FCRL6,0.19880924391906096,neg
KRT10,0.2004805867322852,pos
RNF144B,0.20216216226363304,pos
CHCHD2,0.20555610791496726,neg
NLRX1,0.20726852544796803,pos
C20orf27,0.20899127051796385,neg
CCDC150,0.21246783447963846,neg
HOXA7,0.21246783447963846,pos
PTCD2,0.21246783447963846,neg
PFDN4,0.2142216981368783,neg
RAD54L,0.2142216981368783,neg
HOXA5,0.21776069816151278,pos
WDHD1,0.21954587723440433,neg
FAM81B,0.22134153690011993,neg
LDLRAD1,0.22134153690011993,neg
PRSS22,0.22314769762932263,pos
MAP3K19,0.22679160236178453,neg
LIPG,0.2286293854969108,neg
PLK1,0.2286293854969108,pos
IDH3B,0.23233670836860665,neg
CFAP77,0.23420628500981933,neg
ITGAL,0.23420628500981933,neg
MRPL36,0.23420628500981933,neg
RSPH14,0.23420628500981933,neg
ARSD,0.23608649576039764,pos
IGF1,0.23608649576039764,pos
KLRB1,0.23797735812161602,neg
RAD51,0.24564766010038386,neg
ZNF395,0.24564766010038386,pos
IL12B,0.2495471470628322,pos
CSDE1,0.25151302784720597,pos
CTDSP2,0.2534896860585547,neg
FOLR2,0.2551506297514261,neg
RASAL3,0.25547713560027074,pos
TRIM35,0.25747538995967967,pos
CDC20,0.2635351105095026,pos
GTPBP4,0.2655767105804382,neg
MLLT3,0.26762917655382346,pos
CNFN,0.269692519354364,pos
CD6,0.2717667494688304,neg
MBD2,0.2717667494688304,neg
OSER1,0.2738518769430268,neg
METTL1,0.27594791137878105,neg
STX19,0.27594791137878105,pos
TEX19,0.27594791137878105,pos
FUOM,0.2780548619309614,neg
CXCR5,0.2801727373045174,pos
PNPT1,0.2801727373045174,neg
CNR2,0.2823015457515471,pos
CCR8,0.28444129506838955,neg
FOXM1,0.28444129506838955,neg
CNDP2,0.28659199259274415,neg
SLC4A5,0.28659199259274415,neg
SLC35E3,0.28875364520081737,neg
DRC1,0.29092625930449634,pos
RAB36,0.2920492082995094,neg
CCDC6,0.2953043953078628,neg
INPP4A,0.2953043953078628,neg
ZGRF1,0.2953043953078628,neg
ADRA2B,0.2975099276846874,pos
FDFT1,0.2975099276846874,pos
CDC45,0.30195394382051044,pos
E2F1,0.30195394382051044,neg
PIGR,0.30195394382051044,pos
MFSD14A,0.3041924351966213,neg
LSR,0.30644191971919743,pos
KDM7A,0.30870239998727933,pos
PCDH7,0.30870239998727933,pos
CXCR6,0.3109738781114665,pos
TAGAP,0.3109738781114665,neg
HOXC9,0.3132563557113889,pos
DUSP12,0.31554983391321456,neg
GZMM,0.3201697941452014,pos
LRFN1,0.3201697941452014,pos
ANKRD44,0.322496275938405,pos
RHEX,0.322496275938405,pos
CLIC5,0.3271822385171316,pos
DR1,0.3271822385171316,neg
GRHL2,0.3390895391422991,pos
MAK16,0.3415039547665677,neg
MAP4K1,0.3415039547665677,pos
POLL,0.3415039547665677,pos
SBSN,0.3415039547665677,pos
THEMIS,0.3415039547665677,pos
CD2,0.34392934515515794,neg
CENPF,0.34392934515515794,neg
FAM209A,0.34392934515515794,pos
FLT3,0.3463657048078529,neg
MS4A4A,0.3463657048078529,neg
STMN1,0.3463657048078529,pos
FAM209B,0.3512713072791115,pos
PTK2B,0.3512713072791115,pos
CCNB2,0.3537405364658369,pos
CCR4,0.3537405364658369,neg
HOXD13,0.3537405364658369,neg
KCTD9,0.3537405364658369,neg
MRPS17,0.35622070764919744,neg
PTX3,0.35622070764919744,pos
PXDC1,0.35622070764919744,pos
CHMP7,0.3587118126861947,neg
MRGBP,0.3587118126861947,neg
ERI1,0.36121384289972425,neg
HOXA2,0.36121384289972425,pos
PPP5C,0.36372678907682143,pos
CYP4X1,0.36625064146694686,neg
AURKA,0.3687853897803127,neg
ZNHIT6,0.3687853897803127,neg
PRSS27,0.3713310231862529,pos
SCUBE1,0.3713310231862529,pos
CCT2,0.3738875303116336,pos
WDR62,0.3738875303116336,neg
XPO5,0.3738875303116336,pos
DDIT3,0.37903311750661217,neg
SGO2,0.37903311750661217,pos
TRIM8,0.37903311750661217,pos
UBASH3A,0.37903311750661217,neg
HOXC8,0.3816221721039067,pos
WDR76,0.3816221721039067,neg
FRS2,0.3842220494731592,pos
SDF2,0.3842220494731592,neg
