DepMap_ID,Match_ID
ACH-000823,KYSE520_OESOPHAGUS
ACH-000855,KYSE520_OESOPHAGUS
ACH-000693,KYSE520_OESOPHAGUS
ACH-000873,KYSE520_OESOPHAGUS
ACH-000777,KYSE520_OESOPHAGUS
ACH-000809,KYSE520_OESOPHAGUS
ACH-000865,KYSE520_OESOPHAGUS
ACH-000824,KYSE520_OESOPHAGUS
ACH-000637,KYSE520_OESOPHAGUS
ACH-000784,KYSE520_OESOPHAGUS
ACH-002263,KYSE520_OESOPHAGUS
ACH-002264,KYSE520_OESOPHAGUS
ACH-000866,NCIH3255_LUNG
ACH-000514,NCIH3255_LUNG
ACH-000780,NCIH3255_LUNG
ACH-000980,NCIH3255_LUNG
ACH-000523,NCIH3255_LUNG
ACH-000510,NCIH3255_LUNG
ACH-000921,NCIH3255_LUNG
ACH-000129,NCIH3255_LUNG
ACH-000666,NCIH3255_LUNG
ACH-000845,NCIH3255_LUNG
ACH-000737,NCIH3255_LUNG
ACH-000327,NCIH3255_LUNG
ACH-001591,NCIH3255_LUNG
ACH-000852,NCIH3255_LUNG
ACH-000830,NCIH3255_LUNG
ACH-000589,NCIH3255_LUNG
ACH-000506,NCIH3255_LUNG
ACH-000892,NCIH3255_LUNG
ACH-000869,NCIH3255_LUNG
ACH-000916,NCIH3255_LUNG
ACH-000015,NCIH3255_LUNG
ACH-000179,NCIH3255_LUNG
ACH-000744,NCIH3255_LUNG
ACH-000766,NCIH3255_LUNG
ACH-000035,NCIH3255_LUNG
ACH-000893,NCIH3255_LUNG
ACH-000448,NCIH3255_LUNG
ACH-000021,NCIH3255_LUNG
ACH-000431,NCIH3255_LUNG
ACH-000747,NCIH3255_LUNG
ACH-000675,NCIH3255_LUNG
ACH-000282,NCIH3255_LUNG
ACH-001362,NCIH3255_LUNG
ACH-000379,NCIH3255_LUNG
ACH-000496,NCIH3255_LUNG
ACH-000888,NCIH3255_LUNG
ACH-000033,NCIH3255_LUNG
ACH-000559,NCIH3255_LUNG
ACH-000733,NCIH3255_LUNG
ACH-000894,NCIH3255_LUNG
ACH-001136,NCIH3255_LUNG
ACH-000586,NCIH3255_LUNG
ACH-000434,NCIH3255_LUNG
ACH-000870,NCIH3255_LUNG
ACH-000414,NCIH3255_LUNG
ACH-000752,NCIH3255_LUNG
ACH-000729,NCIH3255_LUNG
ACH-000587,NCIH3255_LUNG
ACH-001137,NCIH3255_LUNG
ACH-000533,NCIH3255_LUNG
ACH-000886,NCIH3255_LUNG
ACH-000781,NCIH3255_LUNG
ACH-000298,NCIH3255_LUNG
ACH-000521,NCIH3255_LUNG
ACH-000153,NCIH3255_LUNG
ACH-000727,NCIH3255_LUNG
ACH-000590,NCIH3255_LUNG
ACH-000010,NCIH3255_LUNG
ACH-000394,NCIH3255_LUNG
ACH-000451,NCIH3255_LUNG
ACH-000841,NCIH3255_LUNG
ACH-000290,NCIH3255_LUNG
ACH-000904,NCIH3255_LUNG
ACH-000639,NCIH3255_LUNG
